------ LISTA DE COMPRAS INVÁLIDAS -------
Erro	Linha
PRODUTO_INVALIDO	SD9179 18.49 4 N BN115 11
PRODUTO_INVALIDO	JT1328 2.54 3 P DT187 6
PRODUTO_INVALIDO	OY2205 8.77 2 N BQ257 6
PRODUTO_INVALIDO	DE8455 3.98 4 P ET110 10
PRODUTO_INVALIDO	GY3965 18.96 3 P EY606 11
PRODUTO_INVALIDO	EU6224 8.19 3 P ET354 9
PRODUTO_INVALIDO	UJ4960 20.6 2 P DL737 9
PRODUTO_INVALIDO	MT6534 1.19 3 N EI991 9
PRODUTO_INVALIDO	PS7539 9.81 4 N FO334 11
PRODUTO_INVALIDO	FZ7839 16.66 5 N FW140 5
PRODUTO_INVALIDO	AO2159 2.98 6 P BP101 7
PRODUTO_INVALIDO	TT3400 16.9 3 N AL115 11
PRODUTO_INVALIDO	JH6385 4.0 2 N EH690 6
PRODUTO_INVALIDO	GW9187 18.49 5 N FN370 4
PRODUTO_INVALIDO	UM7510 12.48 3 P FU780 10
PRODUTO_INVALIDO	NZ9931 20.84 5 P AX325 3
PRODUTO_INVALIDO	QQ4698 7.3 6 P AK195 7
PRODUTO_INVALIDO	BO9365 9.69 5 N BX571 8
PRODUTO_INVALIDO	PT9779 14.42 1 P FO435 1
PRODUTO_INVALIDO	AY5041 15.49 5 P DP658 12
PRODUTO_INVALIDO	YW7070 15.94 4 P EK847 8
PRODUTO_INVALIDO	KU6081 1.63 2 P FV486 4
PRODUTO_INVALIDO	AX2802 16.95 5 P EF434 6
PRODUTO_INVALIDO	WC2853 20.72 2 N CR784 6
PRODUTO_INVALIDO	AX2764 18.24 1 N FP425 6
PRODUTO_INVALIDO	SZ7081 17.12 5 N EW159 11
PRODUTO_INVALIDO	OI6125 19.84 4 N BG671 10
PRODUTO_INVALIDO	DD6867 4.47 5 N FO311 9
PRODUTO_INVALIDO	FC8218 1.49 3 P EU883 5
PRODUTO_INVALIDO	NX6589 13.8 1 P FL235 2
PRODUTO_INVALIDO	VC9922 11.24 6 N DR413 7
PRODUTO_INVALIDO	DQ7267 1.7 6 N BY521 9
PRODUTO_INVALIDO	OI6312 5.16 2 N DR127 3
PRODUTO_INVALIDO	BT2273 0.17 5 P AK177 10
PRODUTO_INVALIDO	ZZ6719 6.9 6 N DH303 4
PRODUTO_INVALIDO	QK9451 11.25 3 P EI977 7
PRODUTO_INVALIDO	JO7264 11.81 5 P FU573 8
PRODUTO_INVALIDO	GY3746 4.67 3 P EQ943 10
PRODUTO_INVALIDO	VI5104 16.0 6 N DK849 5
PRODUTO_INVALIDO	LH7637 10.91 6 P EP564 1
PRODUTO_INVALIDO	PK4765 4.62 2 N FN875 12
PRODUTO_INVALIDO	ZW1029 12.83 3 N CT251 3
PRODUTO_INVALIDO	UJ4924 0.3 1 N CU935 5
PRODUTO_INVALIDO	OI6323 14.39 2 P DM971 10
PRODUTO_INVALIDO	SS8899 16.1 2 P FY250 5
PRODUTO_INVALIDO	LB5929 12.64 6 P BL103 6
PRODUTO_INVALIDO	NZ9923 3.32 4 N DH129 1
PRODUTO_INVALIDO	CI7720 5.8 6 P AO384 5
PRODUTO_INVALIDO	MA1746 15.82 5 P BX809 10
PRODUTO_INVALIDO	XJ7162 4.99 6 N FH686 2
PRODUTO_INVALIDO	WC2823 5.9 4 N CN141 8
PRODUTO_INVALIDO	NZ9931 1.79 6 N CW227 10
PRODUTO_INVALIDO	GY3680 12.46 6 P CT135 7
PRODUTO_INVALIDO	QQ4685 3.15 1 P DP454 7
PRODUTO_INVALIDO	SD9137 5.2 3 P AO198 8
PRODUTO_INVALIDO	GF6282 6.28 3 N EZ806 2
PRODUTO_INVALIDO	FC8274 11.59 6 P DK242 1
PRODUTO_INVALIDO	GG3032 14.42 4 N BR336 4
PRODUTO_INVALIDO	OY2329 3.22 5 N AK592 1
PRODUTO_INVALIDO	OV3557 9.74 1 P AR883 8
PRODUTO_INVALIDO	QB5093 0.27 2 P DQ934 3
PRODUTO_INVALIDO	CI7775 14.66 6 P CT375 12
PRODUTO_INVALIDO	CI7708 16.92 3 N BN202 3
PRODUTO_INVALIDO	AH6640 14.69 5 N DR565 9
